"filename", "language", "TypeScript", "JSON", "XML", "JavaScript", "JSON with Comments", "Markdown", "TypeScript JSX", "PostCSS", "Properties", "comment", "blank", "total"
"d:\github\pecus-aspire\pecus.Frontend\src\app\(entrance)\signin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 12, 118
"d:\github\pecus-aspire\pecus.Frontend\src\app\api\admin\users\route.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"d:\github\pecus-aspire\pecus.Frontend\src\app\api\admin\workspaces\route.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\github\pecus-aspire\pecus.Frontend\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"d:\github\pecus-aspire\pecus.Frontend\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 7, 42
"d:\github\pecus-aspire\pecus.Frontend\src\components\admin\AdminFooter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"d:\github\pecus-aspire\pecus.Frontend\src\components\admin\AdminHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 4, 83
"d:\github\pecus-aspire\pecus.Frontend\src\components\admin\AdminSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 5, 48
"d:\github\pecus-aspire\pecus.Frontend\src\components\client\widgets\ResizableSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 61, 0, 0, 17, 17, 95
"d:\github\pecus-aspire\pecus.Frontend\src\components\client\widgets\editor\index.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 61, 0, 1, 17, 79
"d:\github\pecus-aspire\pecus.Frontend\src\components\client\widgets\editor\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 166, 0, 0, 1, 10, 177
"d:\github\pecus-aspire\pecus.Frontend\src\components\client\widgets\initValue.ts", "TypeScript", 1935, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1937
"d:\github\pecus-aspire\pecus.Frontend\src\components\client\widgets\treeView\CustomDragPreview.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"d:\github\pecus-aspire\pecus.Frontend\src\components\client\widgets\treeView\CustomDragPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"d:\github\pecus-aspire\pecus.Frontend\src\components\client\widgets\treeView\CustomNode.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
