"filename", "language", "XML", "C#", "ASP.NET Razor", "JSON", "comment", "blank", "total"
"d:\github\pecus-aspire\pecus.Libs\DB\Models\WorkspaceItemRelation.cs", "C#", 0, 31, 0, 0, 41, 12, 84
"d:\github\pecus-aspire\pecus.Libs\DB\Models\WorkspaceItemTag.cs", "C#", 0, 11, 0, 0, 25, 8, 44
"d:\github\pecus-aspire\pecus.Libs\DB\Models\WorkspaceUser.cs", "C#", 0, 12, 0, 0, 27, 9, 48
"d:\github\pecus-aspire\pecus.Libs\DB\Seed\DatabaseSeeder.cs", "C#", 0, 504, 0, 0, 67, 86, 657
"d:\github\pecus-aspire\pecus.Libs\Hangfire\Tasks\EmailTasks.cs", "C#", 0, 105, 0, 0, 40, 23, 168
"d:\github\pecus-aspire\pecus.Libs\Hangfire\Tasks\HangfireTasks.cs", "C#", 0, 110, 0, 0, 44, 25, 179
"d:\github\pecus-aspire\pecus.Libs\Hangfire\Tasks\ImageTasks.cs", "C#", 0, 127, 0, 0, 28, 17, 172
"d:\github\pecus-aspire\pecus.Libs\Image\ThumbnailHelper.cs", "C#", 0, 29, 0, 0, 14, 6, 49
"d:\github\pecus-aspire\pecus.Libs\Mail\Configuration\EmailSettings.cs", "C#", 0, 12, 0, 0, 27, 9, 48
"d:\github\pecus-aspire\pecus.Libs\Mail\Models\EmailAttachment.cs", "C#", 0, 18, 0, 0, 21, 6, 45
"d:\github\pecus-aspire\pecus.Libs\Mail\Models\EmailMessage.cs", "C#", 0, 16, 0, 0, 39, 13, 68
"d:\github\pecus-aspire\pecus.Libs\Mail\Services\EmailService.cs", "C#", 0, 174, 0, 0, 37, 32, 243
"d:\github\pecus-aspire\pecus.Libs\Mail\Services\IEmailService.cs", "C#", 0, 19, 0, 0, 25, 5, 49
"d:\github\pecus-aspire\pecus.Libs\Mail\Services\ITemplateService.cs", "C#", 0, 5, 0, 0, 10, 2, 17
"d:\github\pecus-aspire\pecus.Libs\Mail\Services\RazorTemplateService.cs", "C#", 0, 41, 0, 0, 12, 11, 64
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\Models\PasswordResetEmailModel.cs", "C#", 0, 9, 0, 0, 18, 5, 32
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\Models\PasswordSetupEmailModel.cs", "C#", 0, 10, 0, 0, 21, 6, 37
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\Models\WelcomeEmailModel.cs", "C#", 0, 10, 0, 0, 21, 7, 38
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\_Layout.html.cshtml", "ASP.NET Razor", 0, 0, 40, 0, 4, 1, 45
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\password-reset.html.cshtml", "ASP.NET Razor", 0, 0, 12, 0, 0, 7, 19
