Date : 2025-10-31 18:19:56
Directory : d:\github\pecus-aspire\pecus.Libs
Total : 74 files,  -6613 codes, 1067 comments, -2412 blanks, all -7958 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| d:\github\pecus-aspire\pecus.Libs\DB\Models\Workspace.cs                                                            | C#            |         19 |         48 |         16 |         83 |
| d:\github\pecus-aspire\pecus.Libs\DB\Models\WorkspaceItem.cs                                                        | C#            |         34 |         79 |         26 |        139 |
| d:\github\pecus-aspire\pecus.Libs\DB\Models\WorkspaceItemAttachment.cs                                              | C#            |         17 |         43 |         14 |         74 |
| d:\github\pecus-aspire\pecus.Libs\DB\Models\WorkspaceItemPin.cs                                                     | C#            |         16 |         19 |          7 |         42 |
| d:\github\pecus-aspire\pecus.Libs\DB\Models\WorkspaceItemRelation.cs                                                | C#            |         31 |         41 |         12 |         84 |
| d:\github\pecus-aspire\pecus.Libs\DB\Models\WorkspaceItemTag.cs                                                     | C#            |         11 |         25 |          8 |         44 |
| d:\github\pecus-aspire\pecus.Libs\DB\Models\WorkspaceUser.cs                                                        | C#            |         12 |         27 |          9 |         48 |
| d:\github\pecus-aspire\pecus.Libs\DB\Seed\DatabaseSeeder.cs                                                         | C#            |        504 |         67 |         86 |        657 |
| d:\github\pecus-aspire\pecus.Libs\Hangfire\Tasks\EmailTasks.cs                                                      | C#            |        105 |         40 |         23 |        168 |
| d:\github\pecus-aspire\pecus.Libs\Hangfire\Tasks\HangfireTasks.cs                                                   | C#            |        110 |         44 |         25 |        179 |
| d:\github\pecus-aspire\pecus.Libs\Hangfire\Tasks\ImageTasks.cs                                                      | C#            |        127 |         28 |         17 |        172 |
| d:\github\pecus-aspire\pecus.Libs\Image\ThumbnailHelper.cs                                                          | C#            |         29 |         14 |          6 |         49 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Configuration\EmailSettings.cs                                               | C#            |         12 |         27 |          9 |         48 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Models\EmailAttachment.cs                                                    | C#            |         18 |         21 |          6 |         45 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Models\EmailMessage.cs                                                       | C#            |         16 |         39 |         13 |         68 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Services\EmailService.cs                                                     | C#            |        174 |         37 |         32 |        243 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Services\IEmailService.cs                                                    | C#            |         19 |         25 |          5 |         49 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Services\ITemplateService.cs                                                 | C#            |          5 |         10 |          2 |         17 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Services\RazorTemplateService.cs                                             | C#            |         41 |         12 |         11 |         64 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Templates\Models\PasswordResetEmailModel.cs                                  | C#            |          9 |         18 |          5 |         32 |
